AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,support_augmentation,time_elapsed,time_from,time_to
42.82151600136643,68.69578571251716,46.35018202190661,49.43582356411183,78.89728353983054,53.43444949598063,22.978593313130208,38.09129223057697,25.097379599684583,1.0,1.0,embeddings,1.0,0.0,1.0,96.0,2021-07-28 18:31:16,2021-07-28 18:32:53
42.7247767125193,68.20978808883686,46.17894450922619,49.52897642921105,78.7760980146024,53.41142297747074,22.31217756244405,36.51085831154025,24.481509104492556,1.0,1.0,embeddings,1.0,1.0,1.0,111.0,2021-07-28 18:29:25,2021-07-28 18:31:16
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,,
